Year,Average_Closing_Price,Year_Open,Year_High,Year_Low,Year_Close,Annual_%_Change
2021,"31,958.31","30,223.89","34,200.67","29,982.62","34,137.31",11.54%
2020,"26,890.67","28,868.80","30,606.48","18,591.93","30,606.48",7.25%
2019,"26,379.55","23,346.24","28,645.26","22,686.22","28,538.44",22.34%
2018,"25,046.86","24,824.01","26,828.39","21,792.20","23,327.46",-5.63%
2017,"21,750.20","19,881.76","24,837.51","19,732.40","24,719.22",25.08%
2016,"17,927.11","17,148.94","19,974.62","15,660.18","19,762.60",13.42%
2015,"17,587.03","17,832.99","18,312.39","15,666.44","17,425.03",-2.23%
2014,"16,777.69","16,441.35","18,053.71","15,372.80","17,823.07",7.52%
2013,"15,009.52","13,412.55","16,576.66","13,328.85","16,576.66",26.50%
2012,"12,966.44","12,397.38","13,610.15","12,101.46","13,104.14",7.26%
2011,"11,957.57","11,670.75","12,810.54","10,655.30","12,217.56",5.53%
2010,"10,668.58","10,583.96","11,585.38","9,686.48","11,577.51",11.02%
2009,"8,885.65","9,034.69","10,548.51","6,547.05","10,428.05",18.82%
2008,"11,244.06","13,043.96","13,058.20","7,552.29","8,776.39",-33.84%
2007,"13,178.26","12,474.52","14,164.53","12,050.41","13,264.82",6.43%
2006,"11,409.78","10,847.41","12,510.57","10,667.39","12,463.15",16.29%
2005,"10,546.66","10,729.43","10,940.55","10,012.36","10,717.50",-0.61%
2004,"10,315.51","10,409.85","10,854.54","9,749.99","10,783.01",3.15%
2003,"9,006.64","8,607.52","10,453.92","7,524.06","10,453.92",25.32%
2002,"9,214.85","10,073.40","10,635.25","7,286.27","8,341.63",-16.76%
2001,"10,199.29","10,646.15","11,337.92","8,235.81","10,021.57",-7.10%
2000,"10,729.38","11,357.51","11,722.98","9,796.03","10,787.99",-6.17%
1999,"10,481.56","9,184.27","11,497.12","9,120.67","11,497.12",25.22%
1998,"8,630.76","7,965.00","9,374.27","7,539.07","9,181.43",16.10%
1997,"7,447.01","6,442.49","8,259.30","6,391.70","7,908.30",22.64%
1996,"5,739.63","5,177.45","6,560.91","5,032.94","6,448.27",26.01%
1995,"4,494.28","3,838.48","5,216.47","3,832.08","5,117.12",33.45%
1994,"3,794.22","3,756.60","3,978.36","3,593.35","3,834.44",2.14%
1993,"3,524.92","3,309.20","3,794.33","3,242.00","3,754.09",13.72%
